0,1,2,3,4,5,6,7,8,9
???,UCu3gzYf95NsluHCH50WlXgw,528.0,485337,47,1,True,2015-07-21,,2019-03-01
.....,UCAGVccUqHskGF9ZjxiE4EHw,0.0,2088,4,1,False,2015-10-17,,2021-07-27
💪,UCpsp86RxMtCKg2Gz4FfK1VA,280.0,24520,23,4,False,2010-11-12,2019-06-05,2019-03-01
モレノアリ,UCboWkh_xOMXX01ppEJv36_w,58.0,16526,17,0,True,2011-09-30,,2020-01-12
베스트베를린,UCq1d9ls9I-SIXgnaHjQ2GNA,2046.0,1321680,185,10,True,2015-06-23,,2021-06-28
１ねこまんま,UCv0TyvstmeW_knjzeuVU-Nw,4211.0,3091509,44,4,False,2009-11-24,2019-07-11,2019-03-01
ᴠᴀᴩᴏʀᴜʙ ʙᴏʏ,UCSojmM7Bd3akF0c4FbV30GQ,13020.0,356666,52,0,False,2015-12-06,2020-06-12,2019-03-01
ℭ𝔞𝔯𝔩𝔦𝔫𝔥𝔬𝔰,UCFCqUmgj26eTaG9LcVzv4vQ,340.0,51254,22,0,True,2021-01-31,,2021-07-11
0001aa,UChNUoEuT_jYDgKRVyIABuyg,0.0,123,11,1,False,2014-12-27,,2019-03-01
00026858,UCRy09LVJVvdGahOgERYATmQ,0.0,248,2,0,False,2012-01-11,,2019-03-01
0oa0,UCW5u6ZgCqsBRxhcGU9mTTHg,237.0,1654,5,2,False,2008-04-11,2021-05-25,2019-03-01
0rip0,UCNNT9EFfgKEp0CeZ0qcBdTw,3860.0,3834463,23,0,True,2006-03-28,,2021-02-28
0sseus,UC0Te7fFQ5rqfYtJTbHzhDvA,33.0,47658,34,0,False,2009-05-24,,2019-03-01
1000frolly PhD,UCAR0Oi4L0Om4F26uwpANgCg,31700.0,10457906,170,3,True,2012-01-21,,2020-01-17
100xjavx,UCZlqdo5YBQpt4owq5L9tgDw,95.0,4527,6,1,False,2010-03-07,,2021-07-27
1017mann,UCMVv2M4BC29SZ2Vif235TlA,41.0,2220,12,0,False,2008-05-15,,2021-01-22
